$combined_keywords$Category_bin
692$low-cost; open source; tele-rehabilitation; virtual worlds; chronic disease; group-based; key parts; low costs; low-cost sensors; medical sensors; motion controller; open sources; physical exercise; serious games; telemedicine systems; telerehabilitation; wii remote; costs; diseases; health care; information technology; landforms; sensors; social networking (online); telemedicine; virtual reality; open systems;open source virtual worlds and low cost sensors for physical rehab of patients with chronic diseases;for patients with chronic diseases, exercise is a key part of rehab to deal better with their illness. some of them do rehabilitation at home with telemedicine systems. however, keeping to their exercising program is challenging and many abandon the rehabilitation. we postulate that information technologies for socializing and serious games can encourage patients to keep doing physical exercise and rehab. in this paper we present virtual valley, a low cost telemedicine system for home exercising, based on open source virtual worlds and utilizing popular low cost motion controllers (e.g. wii remote) and medical sensors. virtual valley allows patient to socialize, learn, and play group based serious games while exercising. © 2010 institute for computer sciences, social-informatics and telecommunications engineering.$1
693$low-resource setting; quality assurance; quality improvement; teleconsulting;embedding telemedicine quality assurance within a large organisation;introduction quality assurance (qa) is common in certain areas of medicine, such as laboratory work, but there has been little qa in telemedicine so far. we reviewed the qa activities in a store-and-forward telemedicine network, which provides about 1000 teleconsultations per annum in low-resource settings. this work was compared with comprehensive qa programmes in other health care systems to identify areas for future consolidation. patients and methods the qa activities conducted in the telemedicine network were reviewed over a 30-month period. comparison was made with a framework for qa designed to support lower- and middle-income countries. results during the study period, a total of 2068 telemedicine cases were submitted by 154 field users. a number of problems were detected by regular qa monitoring and various adverse events were identified. the qa work was feasible and useful, enabling early detection of problems and the speedy resolution of some of them; other issues required authority above the level of the people working in the telemedicine programme. discussion the review demonstrated the feasibility and value of a qa programme in a store-and-forward telemedicine operation. however, this represents qa at a fairly low, process level. conclusions comparison with other healthcare organisations showed that consolidation of the qa activities into a comprehensive qa programme would be required in order to achieve institutionalization of the work, and to realise its full potential. while this might incur costs in the short-term, the increased efficiency and effectiveness could lead to net savings for the organisation in the long-term. © 2016 elsevier masson sas$1
694$measles mumps rubella vaccine; advertizing; attitude to health; human; information seeking; internet; prejudice; psychology; search engine; vaccination; advertising as topic; humans; information seeking behavior; measles-mumps-rubella vaccine;information is in the eye of the beholder: seeking information on the mmr vaccine through an internet search engine;vaccination campaigns are one of the most important and successful public health programs ever undertaken. people who want to learn about vaccines in order to make an informed decision on whether to vaccinate are faced with a wealth of information on the internet, both for and against vaccinations. in this paper we develop an automated way to score internet search queries and web pages as to the likelihood that a person making these queries or reading those pages would decide to vaccinate. we apply this method to data from a major internet search engine, while people seek information about the measles, mumps and rubella (mmr) vaccine. we show that our method is accurate, and use it to learn about the information acquisition process of people. our results show that people who are pro-vaccination as well as people who are anti-vaccination seek similar information, but browsing this information has differing effect on their future browsing. these findings demonstrate the need for health authorities to tailor their information according to the current stance of users.$0
695$mechanically ventilated; nurses' assessment; sedated; signs; unpleasant symptoms; adult; anxiety; article; artificial ventilation; clinical competence; conscious sedation; critical illness; cross-sectional study; delirium; female; health personnel attitude; human; intensive care; intensive care nursing; intensive care unit; male; methodology; middle aged; needs assessment; norway; nurse attitude; nurse patient relationship; nursing; nursing assessment; pain; perception; physiologic monitoring; questionnaire; reproducibility; risk assessment; severity of illness index; standard; treatment outcome; attitude of health personnel; critical care nursing; cross-sectional studies; humans; intensive care units; monitoring, physiologic; nurse's role; nurse-patient relations; questionnaires; reproducibility of results; respiration, artificial;nurses' perceptions of unpleasant symptoms and signs in ventilated and sedated patients;aims and objectives: to describe intensive care nurses' perceptions and assessments of unpleasant symptoms and signs in mechanically ventilated and sedated adult intensive care patients. background: mechanically ventilated patients are unable to express themselves verbally and depend upon nurses to control their symptoms by understanding their unpleasant experiences, such as pain, anxiety or delirium and interpret the relevant signs. nurses must have enough knowledge to adjust their analgesics and sedatives appropriately and to avoid under- or oversedation. design: a cross-sectional survey design. methods: a study with a self-administrated questionnaire was undertaken in october 2007 to february 2008, with a convenience sample of 183 intensive care nurses in norway. results: the questionnaire was completed by 86 (47%) nurses. most perceived that critical illness polyneuropathy/myopathy occurred frequently. half the nurses underestimated pain, anxiety and delirium. signs such as a response to contact, cough reflex, wakefulness and muscle tone were considered most important in assessing oversedation. agitation, facial grimacing, tube intolerance and wakefulness were considered most important in assessing undersedation. the comfort scale and adoption of the intensive care environment corresponded best to the signs identified by the nurses. conclusion: the nurses underestimated unpleasant symptoms other than critical illness polyneuropathy/myopathy. a further mapping of patients' experiences should be conducted, with an emphasis on the more 'silent' distressing symptoms. further tools to facilitate the communication of consciousness levels and the intolerance of unpleasant symptoms must be developed and implemented. relevance to clinical practice: a deeper understanding of unpleasant symptoms and signs focused in learning activities may help nurses to recognize patients' early problems and allow targeted interventions. a more active stimulus-response assessment of icu patients is required to detect oversedation, critical illness polyneuropathy/myopathy and hypoactive delirium. assessment tools should reflect both the patient's tolerance of various unpleasant symptoms and the level of consciousness. © 2013 british association of critical care nurses.$0
696$medical informatics/*methods; norway; patient participation/*methods; self care/*methods; *software; *software design; telemedicine/*methods; *user-computer interface;user interface and patient involvement;increased patient involvement is a goal in contemporary health care, and of importance to the development of patient oriented ict. in this paper we discuss how the design of patient-user interfaces can affect patient involvement. our discussion is based on 12 semi-structured interviews with patient users of a web-based solution for patient--doctor communication piloted in norway. we argue ict solutions offering a choice of user interfaces on the patient side are preferable to ensure individual accommodation and a high degree of patient involvement. when introducing web-based tools for patient--health professional communication a free-text option should be provided to the patient users.$1
697$medical informatics; electronic patient records; mobile ict; usability; evaluation; communication; location; systems; care; computer science; health care sciences & services; medical informatics;usability testing of mobile ict for clinical settings: methodological and practical challenges;background: while much is known about how to do usability testing of stationary electronic patient record (epr) systems, less is known about how to do usability testing of mobile ict systems intended for use in clinical settings. aim: our aim is to provide a set of empirically based recommendations for usability testing of mobile ict for clinical work. method: we have conducted usability tests of two mobile epr systems. both tests have been done in full-scale models of hospital settings, and with multiple users simultaneously. we report here on the methodological aspects of these tests. results: we found that the usability of the mobile epr systems to a large extent were determined by factors that went beyond that of the graphical user interface. these factors include ergonomic aspects such as the ability to have both hands free, and social aspects such as to what extent the systems disturbs the face-to-face interaction between the health worker and the patient. conclusions: to be able to measure usability issues that go beyond what can be found by a traditional stationary user interface evaluation, it is necessary to conduct usability tests of mobile epr systems in physical environments that simulate the conditions of the work situation at a high level of realism. it is further in most cases necessary to test with a number of test subjects simultaneously. (c) 2008 elsevier ireland ltd. all rights reserved.$1
698$"medical informatics; evaluation studies; publication bias; meta-analysis; qualitative research; review literature; information; science; evidence-based medicine; research-council guidance; complex interventions; systems; care; metaanalysis; framework; policy; computer science; health care sciences & services; medical informatics;discussion of ""evidence-based health informatics: how do we know what we know?"";this article is part of a for-discussion-section of methods of information in medicine about the paper ""evidence-based health informatics: how do we know what we know?"" written by elske ammenwerth [1]. it is introduced by an editorial. this article contains the combined commentaries invited to independently comment on the ammenwerth paper. in subsequent issues the discussion can continue through letters to the editor. with these comments on the paper ""evidence-based health informatics: how do we know what we know?"", written by elske ammenwerth [1], the journal seeks to stimulate a broad discussion on the challenges of evaluating information processing and information technology in health care. an international group of experts has been invited by the editor of methods to comment on this paper. each of the invited commentaries forms one section of this paper."$0
699$metacomputing; operating systems; virtual machine monitors; alternative approach; application binary interfaces; building blockes; hypervisor; light weight; meta-computing; performance evaluation; runtimes; virtual environments; virtualizations; computer operating systems; virtual reality; clouds;balava: federating private and public clouds;balava is a new system for managing computations that span multiple clouds and involve data with confidentiality constraints. this paper describes the design, implementation and initial performance evaluation of balava building-blocks. we detail the run-time developed to interconnect private and public clouds, and present a storage overlay built on top of this run-time. to support low-overhead execution of balava computations, we are investigating alternative approaches to virtualization. we present a new hypervisor that supports light-weight virtual environments, while also preserving application binary interfaces. © 2011 ieee.$0
700$minimal invasive surgery; surgical education; telemedicine; telementoring; videoconference;telementoring in education of laparoscopic surgeons: an emerging technology;laparoscopy, minimally invasive and minimal access surgery with more surgeons performing these advanced procedures. we highlight in the review several key emerging technologies such as the telementoring and virtual reality simulators, that provide a solid ground for delivering surgical education to rural area and allow young surgeons a safety net and confidence while operating on a newly learned technique.$1
701$mobile applications; patients; cell phone; smartphone; symptom; assessment; self-care; user-computer interface; health care sciences & services;supporting cancer patients in illness management: usability evaluation of a mobile app;background: mobile phones and tablets currently represent a significant presence in people's everyday lives. they enable access to different information and services independent of current place and time. such widespread connectivity offers significant potential in different app areas including health care. objective: our goal was to evaluate the usability of the connect mobile app. the mobile app enables mobile access to the connect system, an online system that supports cancer patients in managing health-related issues. along with symptom management, the system promotes better patient-provider communication, collaboration, and shared decision making. the connect mobile app enables access to the connect system over both mobile phones and tablets. methods: the study consisted of usability tests of a high fidelity prototype with 7 cancer patients where the objectives were to identify existing design and functionality issues and to provide patients with a real look-and-feel of the mobile system. in addition, we conducted semistructured interviews to obtain participants-feedback about app usefulness, identify the need for new system features and design requirements, and measure the acceptance of the mobile app and its features within everyday health management. results: the study revealed a total of 27 design issues (13 for mobile apps and 14 for tablet apps), which were mapped to source events (ie, errors, requests for help, participants-concurrent feedback, and moderator observation). we also applied usability heuristics to identify violations of usability principles. the majority of violations were related to enabling ease of input, screen readability, and glanceability (15 issues), as well as supporting an appropriate match between systems and the real world (7 issues) and consistent mapping of system functions and interactions (4 issues). feedback from participants also showed the cancer patients-requirements for support systems and how these needs are influenced by different context-related factors, such as type of access terminal (eg, desktop computer, tablet, mobile phone) and phases of illness. based on the observed results, we proposed design and functionality recommendations that can be used for the development of mobile apps for cancer patients to support their health management process. conclusions: understanding and addressing users-requirements is one of the main prerequisites for developing useful and effective technology-based health interventions. the results of this study outline different user requirements related to the design of the mobile patient support app for cancer patients. the results will be used in the iterative development of the connect mobile app and can also inform other developers and researchers in development, integration, and evaluation of mobile health apps and services that support cancer patients in managing their health-related issues.$1
702$mobile communication; context-aware systems; pagers; wireless phones; cscw; cellular phone interference; hospitals; devices; information;context-aware systems for mobile communication in healthcare - a user oriented approach;a variety of communication problems is a common phenomenon in the current hospital setting. physicians need a mobile context-aware communication system in their daily practice. our approach, based on an initial study performed at the oncology department at the university hospital of north norway and an extensive collection of user needs according to cscw and use case methodology, will develop a reliable communication system to help physicians accomplish their tasks.$1
703$mobile computing; pda; handheld; distractions; physician-patient; communication; point-of-care; bedside computing; usability evaluation; patient communication; physicians; technology; computer science; health care sciences & services; medical informatics;doctors' concerns of pdas in the ward round situation lessons from a formative simulation study;background: healthcare professionals in hospital care increasingly use small-screen handheld computers. studies that have investigated doctors' concerns about handheld usage have mainly focused on technical, organizational and performance issues. very few have looked at the effects of personal digital assistants (pdas) on the interaction between physician and patient. objective: the aim of this study was to explore the effects of pda usage on the physicians' prescription work, their concerns about using it in point-of-care situations, and the effects on the patient-physician dialog. methods: we used a qualitative and comparative approach where 14 physicians each carried out four simulated ward rounds in which they modified the medication of patient actors using a paper-based medical chart and three versions of a pda-based system. we analyzed ward round video recordings, semi-structured interviews with the doctors, and focus group using approaches based on ethnomethodology and grounded theory. results: physicians used pda and paper differently. physicians' actions, as well as their, non-verbal communication, were less transparent and clear for the patient when using a pda. doctors were worried about distractions, from the handheld device and about a negative impact on the physician-patient conversation. in general, physicians were more comfortable with paper, but preferred pda because it offered an undo function and reduced the need to memorize drug names and dosages by providing concrete alternatives in the user interface. conclusions: despite the many benefits, pda usage at the point-of-care comes with the increased risk of distractions for physicians and can cause a negative patient experience. designers of point-of-care systems need to be aware of, and address, the problems with handhelds and learn from the attributes and, access capabilities of paper charts.$1
704$mobile computing; quality assurance; automated tools; cross platform applications; heterogeneous devices; mobile application development; performance measurements; quality assurance process; quality standard; regression tests; standards;meeting quality standards for mobile application development in businesses: a framework for cross-platform testing;how do you test the same application developed for multiple mobile platforms in an effective way? companies offering apps have to develop the same features across several platforms in order to reach the majority of potential users. however, verifying that these apps work, as intended across a set of heterogeneous devices and operating systems is not trivial. manual testing can be performed, but this is time consuming, repetitive and error-prone. automated tools exist through frameworks, such as frank and robotium, however they lack the possibility to run repeated tests across multiple heterogeneous devices. this article presents an extensible architecture and conceptual prototype that showcase and combines parallel cross-platform test execution with performance measurements. in so doing, this work contributes to a quality-assurance process by automating parts of a regression test for mobile cross-platform applications. © 2016 ieee.$0
705$mobile health it; collaboration; doctor-patient communication; awareness; pda; affordances; paper chart; epr; user interface; form; factor; information; computers; simulation; physicians; records; access; computer science; health care sciences & services; medical informatics;mobile health it: the effect of user interface and form factor on doctor-patient communication;background: introducing computers into primary care can have negative effects on the doctor-patient dialogue. little is known about such effects of mobile health it in point-of-care situations. aim: to assess how different mobile information devices used by physicians in point-of-care situations support or hinder aspects of doctor-patient communication, such as face-to-face dialogue, nonverbal communication, and action transparency. method: the study draws on two different experimental simulation studies where 22 doctors, in 80 simulated ward rounds, accessed patient-related information from a paper chart, a pda, and a laptop mounted on a trolley. video recordings from the simulations were analyzed qualitatively. interviews with clinicians and patients were used to triangulate the findings and to verify the realism and results of the simulations. result: the paper chart afforded smooth re-establishment of eye contact, better verbal and non-verbal contact, more gesturing, good visibility of actions, and quick information retrieval. the digital information devices lacked many of these affordances; physicians' actions were not visible for the patients, the user interfaces required much attention, gesturing was harder, and re-establishment of eye contact took more time. physicians used the devices to display their actions to the patients. the analysis revealed that the findings were related to the user interface and form factor of the information devices, as well as the personal characteristics of the physician. conclusion: when information is needed and has to be located at the point-of-care, the user interface and the physical form factor of the mobile information device are influential elements for successful collaboration between doctors and patients. both elements need to be carefully designed so that physicians can use the devices to support face-to-face dialogue, nonverbal communication, and action visibility. the ability to facilitate and support the doctor-patient collaboration is a noteworthy usability factor in the design of mobile epr systems. the paper also presents possible design guidelines for mobile point-of-care systems for improved doctor-patient communication. (c) 2011 elsevier ireland ltd. all rights reserved.$1
706$mobile health; type 2 diabetes; self-management; intervention;usage and perceptions of a mobile self-management application for people with type 2 diabetes: qualitative study of a five-month trial;despite a growing number of clinical-intervention studies of mobile applications for diabetes self-management, details of participants' engagement with the intervention tools and of usability and feasibility issues are seldom reported. the few touch application is a mobile-phone-based self-management system for people with type 2 diabetes mellitus (t2dm) developed by involving patient-users in design processes from an early phase to a long-term trial. an improved version was tested in a five-month trial by 11 individuals either with t2dm or at high risk of t2dm. results showed clearer correlations between usage and perceived usefulness among these individuals compared with those involved in the design process. however, feedback on usability issues was mostly consistent between the two trials. this study therefore confirmed: 1) the value of including patient-users not only in design-concept development but also in a long-term trial to identify as many factors critical to usability and usage as possible, and 2) the importance of reflecting their feedback in design iterations to minimize the number of critical factors.$1
707$mobile radiography service; nursing homes; socio-economics; telemedicine; x-ray;mobile radiography services in nursing homes: a systematic review of residents' and societal outcomes;background: demographic changes are leading to an ageing population in europe, and predict an increase in the number of nursing home residents over the next 30 years. nursing home residents need specialised healthcare services such as radiology due to both chronic and acute illnesses. mobile radiography, x-ray examinations performed in the nursing homes, may be a good way of providing services to this population. the aim of this systematic review was to identify the outcomes of mobile radiography services for nursing home residents and society. methods: a systematic review based on searches in the medline, cochrane, pubmed, embase and svemed + databases was performed. titles and abstracts were screened according to a predefined set of inclusion criteria: empirical studies in the geriatric population, and reports of mobile radiography services in a clinical setting. all publications were quality appraised using mmat or casp appraisal tools. data were extracted using a summary table and results were narratively synthesised. results: ten publications were included. three overarching outcomes were identified: 1) reduced number of hospitalisations and outpatient examinations or treatments, 2) reduced number of transfers between nursing homes and hospitals and 3) increased access to x-ray examinations. these outcomes were interlinked with the more specific outcomes for residents and society reported in the literature. for residents there was a reduction in burdensome transfers and waiting time and adequate treatment and care increased. for society, released resources could be used more efficiently, and overall costs were reduced substantially. conclusions: this review indicates that mobile radiography services for nursing home residents in the western world are of comparable quality to hospital-based examinations and have clear potential benefits. mobile radiography reduced transfers to and from hospital, increased the number of examinations carried out and facilitated timely diagnosis and access to treatments. further research is needed to formally evaluate potential improvements in care quality and cost-effectiveness.$1
708$mobile systems; mobile work; mobility; software development; usability evaluations; user-centered system design; flow interactions; human computer interaction; interactive computer systems; project management; video streaming; action research; building sites; design and development; development projects; human interactions; information processing; international conferences; system designs; usability evaluation; usability problems; user-centered; usability engineering;training and deployment as a basis for usability engineering of mobile systems;usability engineering of mobile systems challenges existing methods and raises new concerns. usability evaluations are frequently described as a separate discipline and in many cases usability evaluations are separate activities within the design and development of systems. this paper presents a development project where training in and the deployment of a mobile system were used to identify usability problems. the project aimed to develop a mobile system to supporting information processes for workers on building sites. an iterative usability evaluation process was conducted the process was refined and validated using two action research projects. the approach of the research was user-centered system design (ucsd). when evaluating the mobile system during training and deployment vital usability problems of a rich variety and complexity were identified. these usability problems related to mobility, location, culture and weather were identified. this research reveals strong similarities between usability evaluations and action research that were an advantage for the usability process. the users participated actively and were inspired by experiencing the improvements. this iterative usability process contributed to improvements of the mobile system. © 2008 ieee.$0
709$mobile; cloud; performance; latency; satellite execution; code; offloading; cloud databases;using satellite execution to reduce latency for mobile/cloud applications;we demonstrate a practical way to reduce latency for mobile. net applications that interact with cloud services, without disrupting application architectures. we provide a programming abstraction for location-independent code, which has the potential to execute either locally or at a satellite execution environment in the cloud, where other cloud services can be accessed with low latency. this maintains a simple deployment model, but gives applications the option to offload latency-sensitive code to the cloud. services like cloud databases can still be accessed programmatically, but with less concern for the aggregated latency of consecutively-issued requests. our evaluation shows that this approach can significantly improve the response time for applications that execute dependent database queries, and that the required cloud-side resources are modest.$0
710$moderation; online communities; prototype; social media; media industry; power balance; wikipedia; online systems;multi-dimensional moderation in online communities: experiences with three norwegian sites;online-communities and user contribution of content have become widespread over the last years. this has triggered new and innovative web concepts, and perhaps also changed the power balance in the society. many large corporations have embraced this way of creating content to their sites, which has raised concerns regarding abusive content. previous research has identified two main different types of moderation; one where the users have most of the control as in wikipedia, and the other where the owners control everything. the media industry, in particular, are reluctant to loose the control of their content by using the member-maintained approach even if it has proven to cost less and be more efficient. this research proposes to merge these two moderation types through a concept called multidimensional moderation. to test this concept, two prototype solutions have been implemented and tested in large-scale discussion groups. the results from this study show that a combination of owner and user moderation may enhance the moderation process. © 2009 springer berlin heidelberg.$0
711$modified nominal group technique; physician-staffed emergency medical services; quality indicators; consensus development; emergency health service; feasibility study; human; human experiment; medicine; physician; reliability; total quality management; validity; consensus; delphi study; health care quality; personnel management; standards; delphi technique; emergency medical services; personnel staffing and scheduling; physicians; quality improvement; quality indicators, health care;developing quality indicators for physician-staffed emergency medical services: a consensus process;background: there is increasing interest for quality measurement in health care services; pre-hospital emergency medical services (ems) included. however, attempts of measuring the quality of physician-staffed ems (p-ems) are scarce. the aim of this study was to develop a set of quality indicators for international p-ems to allow quality improvement initiatives. methods: a four-step modified nominal group technique process (expert panel method) was used. results: the expert panel reached consensus on 26 quality indicators for p-ems. fifteen quality indicators measure quality of p-ems responses (response-specific quality indicators), whereas eleven quality indicators measure quality of p-ems system structures (system-specific quality indicators). discussion: when measuring quality, the six quality dimensions defined by the institute of medicine should be appraised. we argue that this multidimensional approach to quality measurement seems particularly reasonable for services with a highly heterogenic patient population and complex operational contexts, like p-ems. the quality indicators in this study were developed to represent a broad and comprehensive approach to quality measurement of p-ems. conclusions: the expert panel successfully developed a set of quality indicators for international p-ems. the quality indicators should be prospectively tested for feasibility, validity and reliability in clinical datasets. the quality indicators should then allow for adjusted quality measurement across different p-ems systems. © 2017 the author(s).$0
712$monitoring-system;review of wireless sensors networks in health applications;wireless sensor networks (wsn) are becoming increasingly important for telemedicine applications, monitoring patients both in the clinical setting and at home. they reduce user discomfort, enhance mobility and reduce costs. wsn are also fundamental in ambient assisted living (aal) since these smart systems, which are tailored to users needs, collect information about users and their ambient in order to provide personalized feedback. despite the growing use of wireless communications in the health domain and in aal systems there is a lack of research literature reviewing trials of these technologies. this paper provides a systematic review of the use of wsn in the health domain, presenting current wsn implementations. it covers 126 papers, of which 26 are studies, classified according to inclusion criteria. there is presented a discussion about the recent research conducted in the field.$1
713$mood disorders; online communities; text classification; classification (of information); diagnosis; online systems; risk assessment; social networking (online); ubiquitous computing; bigrams; chronic illness; f-score; multiple classifiers; on-line communities; text processing;text classification to automatically identify online patients vulnerable to depression;online communities are emerging as important sources of support for people with chronic illnesses such as diabetes and obesity, both of which have been associated with depression. the goal of this study was to assess the performance of text classification in identifying at-risk patients. we manually created a corpus of chat messages based on the icd-10 depression diagnostic criteria, and trained multiple classifiers on the corpus. after selecting informative features and significant bigrams, a precision of 0.92, recall of 0.88, f-score of 0.92 was reached. current findings demonstrate the feasibility of automatically identifying patients at risk of developing severe depression in online communities. © institute for computer sciences, social informatics and telecommunications engineering 2014.$1
714$multi-core; resource management; scalability; scheduling; virtualization; computer architecture; resource allocation; virtual reality; vortex flow; multi core; operating system architecture; resource consumption; scheduling decisions; system functionality; virtualizations; virtualized environment;omni-kernel: an operating system architecture for pervasive monitoring and scheduling;the omni-kernel architecture is designed around pervasive monitoring and scheduling. motivated by new requirements in virtualized environments, this architecture ensures that all resource consumption is measured, that resource consumption resulting from a scheduling decision is attributable to an activity, and that scheduling decisions are fine-grained. vortex, implemented for multi-core x86-64 platforms, instantiates the omni-kernel architecture, providing a wide range of operating system functionality and abstractions. with vortex, we experimentally demonstrated the efficacy of the omni-kernel architecture to provide accurate scheduler control over resource allocation despite competing workloads. experiments involving apache, mysql, and hadoop quantify the cost of pervasive monitoring and scheduling in vortex to be below 6percent of cpu consumption. © 1990-2012 ieee.$0
715$"music and health; tangible interaction; thing; universal design; co-creation; digital technologies; multi-modal; computer applications; design;what we talk about when we talk about co-creative tangibles;we investigate ways in which emergent digital technologies embedded into ""soft things"" offer new possibilities for communication, collaboration and co-creation between people with and without disabilities. specifically, we look at ways in which tangible, net based, multi-modal artifacts can be used for creating and sharing music and visuals. in this paper, we describe the notion of co-creative tangibles, and the ways in which different stakeholders talk about these ""smart things"". the three participating groups are children and their families, care givers and teachers, and researchers from different disciplines. we will specifically investigate universal design in the area of tangible interaction, and ways of talking about the ""things"" we develop, use and interact with. © 2012 acm."$0
716$national libraries; ontology engineering; organizational levels; organizational structures; semantic web research; semantic web technology; sociotechnical; technological level; innovation; ontology; semantic web; semantics; world wide web; digital libraries;organizational challenges of the semantic web in digital libraries;the semantic web initiative holds large promises for the future. there is, however, a considerable gap in semantic web research between the contributions in the technological field and the research done in the organizational field. this paper examines, from a socio-technical point of view the impact of semantic web technology on the strategic, organizational and technological levels. building on a comprehensive case study at the national library in norway our findings indicate that the highest impact will be at the organizational level. the reason is mainly because inter-organizational and cross-organizational structures have to be established to address the problems of ontology engineering, and a development framework for ontology engineering in digital libraries must be examined. ©2008 ieee.$0
717$negotiated order; teamwork; work; implementation; telemedicine; technology; engineering; business & economics;changing the record: the inter-professional, subjective and embodied effects of electronic patient records;electronic patient record systems promise to optimise the delivery of health care. however, changing the record can disrupt established health-care work and organisation, producing less than optimum outcomes. changing the record may not only change what health-care professionals do but may also change their understandings of work and self.$1
718$neurosurgical; pain management; telemedicine;utilization of a civilian academic center as a force multiplier in support of nato special operations medicine- a pilot demonstration;this work describes a nato-university telemedicine collaboration established to perform a teleneurosurgery consult to assist a deployed soldier with a spinal cord injury. © 2012 the authors and ios press. all rights reserved.$1
719$"new public health; health informatics; big data analytics; social media; sundheds.dk;big social data in public health: a mixed-methods case study of sundhed. dk's facebook strategy, engagement, and performance;we introduce the notion of ""socially shared health information"" (sshi) referring to the phenomena of users and health organizations explicitly sharing health related information on social media platforms such as facebook and twitter. in order to investigate the phenomena of sshi, in this paper, we present a multi-method case study of the organizational strategies for and user engagement with the facebook page of the official portal for the public danish healthcare services (sundheds.dk). we analysed qualitative data in the form of a semi-structured interview with the social media editor of sundhed.dk and netnographic observations, and quantitative data from the full historic fetch of the official facebook wall. our results show a good alignment between the organizational and social media strategies of the public danish healthcare services but point out the lack of domain-specific metrics to measure its efficacy and effectiveness. (c) 2016 the authors. published by elsevier b.v."$0
720$ngn; dlna; remote media access; mobile phone control; qr-codes;media delivery to remote renderers controlled by the mobile phone;in today's content delivery solutions, service delivery and control are still tightly coupled, a service typically being delivered to the same device that controls the session. we present a solution that was designed with the goal to decouple service control and delivery. using our approach, multimedia streaming services can be delivered to off-the-shelf dlna devices in visited networks. the service provider receives information about the remote media player and access environment via a mobile phone. proximity technologies (e.g. barcodes, nfc) of the control device are used for the exchange of required credentials. this paper describes a typical scenario and our prototype implementation.$0
721$norway; cluster rct; complex intervention; delivery of health care, integrated; diabetes; diabetic foot; foot ulcer; patient-reported outcomes; primary care; randomized controlled trial; telemedicine;telemedicine versus standard follow-up care for diabetes-related foot ulcers: protocol for a cluster randomized controlled noninferiority trial (diafoto);background: this paper presents the protocol for an ongoing study to evaluate a telemedicine follow-up intervention for patients with diabetes-related foot ulcers. diabetes-related foot ulcers represent challenges for patients and the health services. the large increase in the prevalence of diabetes, combined with the aging population, means that the absolute number of patients with diabetes-related foot ulcers is likely to continue to increase. health care services therefore need to provide close clinical follow-up care for people with diabetes both in primary and specialist care. information and communication technologies may enable more integrated treatment and care pathways across organizational boundaries. however, we lack knowledge about the effect of telemedicine follow-up and how such services can be optimally organized. objective: to present the design and methods of a study evaluating a telemedicine follow-up intervention for patients with diabetes-related foot ulcers. methods: the study is designed as a cluster randomized controlled trial (noninferiority trial) involving municipalities or municipality districts (clusters) belonging to one clinical site in western norway. the study includes patients with type 1 and type 2 diabetes presenting with a new foot ulcer at the initial visit to the clinic. patients in the intervention group receive telemedicine follow-up care in the community. the key ingredient in the intervention is the close integration between health care levels. the intervention is facilitated by the use of an interactive wound platform consisting of a web-based ulcer record combined with a mobile phone, enabling counseling and communication between nurses in the community and specialist health care. patients in the control group receive standard hospital outpatient care. the primary endpoint in the trial is healing time; secondary outcomes include amputation and death, patient-reported outcome measures, and follow-up data on the recurrence of foot ulcers. in addition, qualitative substudies are being performed to provide a more comprehensive evaluation of the ongoing processes during the trial with the patients in the intervention and control groups and those health care professionals either working in primary care or in specialist care delivering the intervention. results: the project has been funded. the inclusion of patients started in september 2012. because recruitment goals were not met in the initial period, two more clinical sites have been included to meet sample size requirements. patient recruitment will continue until june 2016. data collection in the qualitative substudies has been completed. conclusions: this telemedicine trial operates in a novel setting and targets patients with diabetes-related foot ulcers during a 12-month follow-up period. the trial addresses whether integrated care using telemedicine between primary and specialist health care can be an equivalent alternative to standard outpatient care. trial registration: clinicaltrials.gov nct01710774; https://clinicaltrials.gov/ct2/show/nct01710774 (archived by webcite at http://www.webcitation.org/6im6kffov).$1
